provinsi,paslon,persentase_suara,jumlah_suara,total_suara_sah
Banten,Prabowo-Gibran,57.08,4114355,7207844
Banten,Anies-Cak Imin,27.17,1958653,7207844
Banten,Ganjar-Mahfud,15.74,1134834,7207844
Bali,Prabowo-Gibran,51.61,1400982,2714623
Bali,Anies-Cak Imin,22.7,616098,2714623
Bali,Ganjar-Mahfud,25.7,697542,2714623
Nusa Tenggara Barat,Prabowo-Gibran,63.76,2233619,3503242
Nusa Tenggara Barat,Anies-Cak Imin,20.39,714160,3503242
Nusa Tenggara Barat,Ganjar-Mahfud,15.86,555461,3503242
Nusa Tenggara Timur,Prabowo-Gibran,56.9,1821024,3200607
Nusa Tenggara Timur,Anies-Cak Imin,22.85,731185,3200607
Nusa Tenggara Timur,Ganjar-Mahfud,20.26,648396,3200607
Kalimantan Barat,Prabowo-Gibran,59.56,1848849,3104438
Kalimantan Barat,Anies-Cak Imin,24.53,761445,3104438
Kalimantan Barat,Ganjar-Mahfud,15.92,494142,3104438
Kalimantan Tengah,Prabowo-Gibran,60.24,969751,1609742
Kalimantan Tengah,Anies-Cak Imin,25.15,404898,1609742
Kalimantan Tengah,Ganjar-Mahfud,14.6,235091,1609742
Kalimantan Selatan,Prabowo-Gibran,61.28,1461176,2384388
Kalimantan Selatan,Anies-Cak Imin,22.39,533957,2384388
Kalimantan Selatan,Ganjar-Mahfud,16.33,389253,2384388
Kalimantan Timur,Prabowo-Gibran,55.48,1235612,2227223
Kalimantan Timur,Anies-Cak Imin,26.42,588425,2227223
Kalimantan Timur,Ganjar-Mahfud,18.1,403185,2227223
Kalimantan Utara,Prabowo-Gibran,60.18,247038,410504
Kalimantan Utara,Anies-Cak Imin,23.08,94737,410504
Kalimantan Utara,Ganjar-Mahfud,16.74,68727,410504
Sulawesi Utara,Prabowo-Gibran,56.31,919605,1633160
Sulawesi Utara,Anies-Cak Imin,27.81,454102,1633160
Sulawesi Utara,Ganjar-Mahfud,15.89,259451,1633160
Sulawesi Tengah,Prabowo-Gibran,57.89,1133934,1958905
Sulawesi Tengah,Anies-Cak Imin,26.66,522316,1958905
Sulawesi Tengah,Ganjar-Mahfud,15.45,302654,1958905
Sulawesi Selatan,Prabowo-Gibran,59.57,3129437,5253402
Sulawesi Selatan,Anies-Cak Imin,24.36,1279619,5253402
Sulawesi Selatan,Ganjar-Mahfud,16.07,844344,5253402
Sulawesi Tenggara,Prabowo-Gibran,58.62,976322,1665547
Sulawesi Tenggara,Anies-Cak Imin,25.22,420027,1665547
Sulawesi Tenggara,Ganjar-Mahfud,16.16,269196,1665547
Gorontalo,Prabowo-Gibran,58.44,420909,720263
Gorontalo,Anies-Cak Imin,25.38,182781,720263
Gorontalo,Ganjar-Mahfud,16.18,116572,720263
Sulawesi Barat,Prabowo-Gibran,60.42,495061,819312
Sulawesi Barat,Anies-Cak Imin,24.18,198146,819312
Sulawesi Barat,Ganjar-Mahfud,15.39,126103,819312
Maluku,Prabowo-Gibran,57.77,655927,1135481
Maluku,Anies-Cak Imin,27.01,306637,1135481
Maluku,Ganjar-Mahfud,15.23,172915,1135481
Maluku Utara,Prabowo-Gibran,58.77,464675,790699
Maluku Utara,Anies-Cak Imin,24.63,194752,790699
Maluku Utara,Ganjar-Mahfud,16.6,131270,790699
Papua,Prabowo-Gibran,54.22,339553,626241
Papua,Anies-Cak Imin,27.45,171927,626241
Papua,Ganjar-Mahfud,18.33,114760,626241
Papua Barat,Prabowo-Gibran,57.54,186928,324852
Papua Barat,Anies-Cak Imin,25.14,81668,324852
Papua Barat,Ganjar-Mahfud,17.32,56254,324852
Papua Selatan,Prabowo-Gibran,60.44,157935,261307
Papua Selatan,Anies-Cak Imin,23.0,60091,261307
Papua Selatan,Ganjar-Mahfud,16.56,43280,261307
Papua Tengah,Prabowo-Gibran,58.86,139615,237188
Papua Tengah,Anies-Cak Imin,24.17,57328,237188
Papua Tengah,Ganjar-Mahfud,16.97,40243,237188
Papua Pegunungan,Prabowo-Gibran,59.48,255625,429770
Papua Pegunungan,Anies-Cak Imin,25.29,108679,429770
Papua Pegunungan,Ganjar-Mahfud,15.23,65464,429770
Papua Barat Daya,Prabowo-Gibran,54.6,85314,156263
Papua Barat Daya,Anies-Cak Imin,27.64,43194,156263
Papua Barat Daya,Ganjar-Mahfud,17.76,27754,156263
